Code,Map Unit,Name,Age,Region,PageSource,Description,Generalized 
172,KJg,Quartz monzodiorite,Cretaceous to Jurassic,"SC, SW",99,,INTRUSIVE ROCKS
173,KJs,Fine-grained sedimentary and metasedimentary rocks,Cretaceous or Jurassic,EC,22,,SEDIMENTARY ROCKS
174,KJse,Saint Elias suite of Gordey and Makepeace (2003) and similar rocks,Early Cretaceous and Late Jurassic,"SC, SE",99,,INTRUSIVE ROCKS
175,KJsnk,"Staniukovich and Naknek Formations, Kotsina Conglomerate, and similar rocks of southern Alaska","Lower Cretaceous to Jurassic, Pliensbachian",AP;SC;EC,35,"Kst—Staniukovich Formation; Jnk—Naknek Formation and Kotsina Conglomerate; Js—Marine sedimentary rocks of the Wrangell Mountains, undivided",SEDIMENTARY ROCKS
176,Kst,Staniukovich Formation,Lower Cretaceous,AP,35,,SEDIMENTARY ROCKS
177,Jnk,Naknek Formation and Kotsina Conglomerate,"Upper Jurassic, Tithonian to Oxfordian","AP, SC",35,,SEDIMENTARY ROCKS
178,Js,"Marine sedimentary rocks of the Wrangell Mountains, undivided","Jurassic, Kimmeridgian to Pliensbachian",EC,35,,SEDIMENTARY ROCKS
179,KJvp,Volcano-plutonic complexes,Cretaceous and Jurassic,SW;WC,83,Kmvi—Mafic to intermediate volcano-plutonic complexes; KJv—Highly altered volcanic rocks in southwest Alaska,VOLCANIC ROCKS
180,Kmvi,Mafic to intermediate volcano-plutonic complexes,Late Cretaceous,"SW, WC",83,,VOLCANIC ROCKS
181,KJv,Highly altered volcanic rocks in southwest Alaska,Cretaceous or Jurassic,SW,83,,VOLCANIC ROCKS
182,KJyg,"Yakutat Group, undivided",Lower Cretaceous and Upper Jurassic?,"SC, SE",22,,SEDIMENTARY ROCKS
183,KJyh,Graywacke of the Yenlo Hills,Cretaceous? and uppermost Jurassic,SC,22,,SEDIMENTARY ROCKS
184,Kk,"Kuskokwim Group, undivided",Upper Cretaceous to upper Lower Cretaceous,SW,20,,SEDIMENTARY ROCKS
185,Kke,Kemik Sandstone,"Lower Cretaceous, Hauterivian",NR,27,,SEDIMENTARY ROCKS
186,Kkg,"Flysch and quartzite, Kandik Group and equivalents","Lower Cretaceous, Albian to Valanginian",EC,27,,SEDIMENTARY ROCKS
187,Klgr,Intermediate granitic rocks,Late Cretaceous,"SC, SP, SW, WC",96,Klqm—Quartz monzonite and monzonite,INTRUSIVE ROCKS
188,Klqm,Quartz monzonite and monzonite,Late Cretaceous,"SC, SW",96,,INTRUSIVE ROCKS
189,Kmgr,Granitic rocks of central and southeast Alaska,"Cretaceous, Coniacian to Albian","EC, SC, SE, WC",97,"Kmqm—Quartz monzonite, monzonite, and syenite; Ksy—Syenitic rocks",INTRUSIVE ROCKS
190,Kmqm,"Quartz monzonite, monzonite, and syenite","Cretaceous, Coniacian to Albian","CN, EC,
SE, SP, WC",97,,INTRUSIVE ROCKS
191,Ksy,Syenitic rocks,"Cretaceous, Coniacian to Albian","NW, WC",97,,INTRUSIVE ROCKS
192,Kmig,Migmatite and metaplutonic rocks,Cretaceous,"EC, NE, SC, SE",110,,METAMORPHIC ROCKS
193,KMm,West-central Alaska mélange (Angayucham),Cretaceous or older,NR;WC,30,KJm—Mélange facies; KMmu—West-central Alaska mélange-like rocks,SEDIMENTARY ROCKS
194,KJm,Mélange facies,Cretaceous or Jurassic?,"NR, WC",30,,SEDIMENTARY ROCKS
195,Kmmu,West-central Alaska mélange-like rocks,Cretaceous or older,WC,30,,SEDIMENTARY ROCKS
196,Kms,Mafic and shoshonitic volcanic rocks,Early Cretaceous,NW;WC,83-84,Ksbd—Spilitic pillow basalt and diabase; Ksv—Shoshonitic flows and tuff,VOLCANIC ROCKS
197,Ksbd,Spilitic pillow basalt and diabase,Early Cretaceous?,NW,83,,VOLCANIC ROCKS
198,Ksv,Shoshonitic flows and tuff,Early Cretaceous,WC,84,,VOLCANIC ROCKS
199,Kmss,Marine sandstone and siltstone,"Cretaceous, Cenomanian to Albian","SC, WC",24,,SEDIMENTARY ROCKS
200,Kmuc,McHugh and Uyak Complexes and similar rocks,Late Cretaceous,AP;SC;SW,136;19,Kumc—McHugh and Uyak Complexes; Kcct—Cape Current terrane,TECTONIC ASSEMBLAGES AND MÉLANGE; SEDIMENTARY ROCKS
201,Kumc,McHugh and Uyak Complexes,Late Cretaceous,"AP, SC",136,,TECTONIC ASSEMBLAGES AND MÉLANGE
202,Kcct,Cape Current terrane,Upper Cretaceous,SW,19,,SEDIMENTARY ROCKS
203,Knmt,Nonmarine to shelf sedimentary rocks,Tertiary? and Cretaceous,AP;SW;EC;SC;SW;WC;SP;NW;NR,16-17;19-22,"Kcs—Chignik Formation and similar units in southern Alaska; Khk—Hoodoo and Kaguyak Formations; Kmf—Minto unit; Ksd—Sandstone, shale, and conglomerate deltaic deposits; TKis—Intricately intruded areas of volcanic graywacke and mudstone; Kcc—Carbonate-rich conglomerate and sandstone deltaic rocks; Kqc—Quartz-pebble conglomerate, west-central Alaska; Ktu—Tuluvak Formation",SEDIMENTARY ROCKS
204,Kcs,Chignik Formation and similar units in southern Alaska,Upper Cretaceous,"AP, SW",16,,SEDIMENTARY ROCKS
205,Khk,Hoodoo and Kaguyak Formations,Upper Cretaceous,AP,17,,SEDIMENTARY ROCKS
206,Kmf,Minto unit,Upper Cretaceous?,EC,19,,SEDIMENTARY ROCKS
207,Ksd,"Sandstone, shale, and conglomerate deltaic deposits",Upper and upper Lower Cretaceous,"EC, SC, SW, WC",19,,SEDIMENTARY ROCKS
208,Tkis,Intricately intruded areas of volcanic graywacke and mudstone,Tertiary or Upper Cretaceous,WC,20,,SEDIMENTARY ROCKS
209,Kcc,Carbonate-rich conglomerate and sandstone deltaic rocks,Cretaceous,"SP, NW",21,,SEDIMENTARY ROCKS
210,Kqc,"Quartz-pebble conglomerate, west-central Alaska",Lower Upper Cretaceous to upper Lower Cretaceous,WC,22,,SEDIMENTARY ROCKS
211,Ktu,Tuluvak Formation,"Upper Cretaceous, Coniacian to upper Turonian",NR,22,,SEDIMENTARY ROCKS
212,Kns,Sedimentary rocks of the North Slope,"Cretaceous, Cenomanian to Albian",NR,24-25,Knf—Nanushuk Formation; Kto—Torok Formation; Kfm—Fortress Mountain Formation,SEDIMENTARY ROCKS
213,Knf,Nanushuk Formation,"Cretaceous, Cenomanian to Albian",NR,24,,SEDIMENTARY ROCKS
214,Kto,Torok Formation,"Cretaceous, Cenomanian to Aptian",NR,24,,SEDIMENTARY ROCKS
215,Kfm,Fortress Mountain Formation,"Cretaceous, Albian",NR,25,,SEDIMENTARY ROCKS
216,Kok,Okpikruak and Kongakut Formations,Lower Cretaceous,NR,25-26,Kof—Okpikruak Formation and similar units; Kgk—Kongakut Formation,SEDIMENTARY ROCKS
217,Kof,Okpikruak Formation and similar units,Lower Cretaceous,NR,25,,SEDIMENTARY ROCKS
218,Kgk,Kongakut Formation,"Lower Cretaceous, Hauterivian and younger",NR,26,,SEDIMENTARY ROCKS
219,Kpf,Pedmar Formation,"Lower Cretaceous, Albian",AP,26,,SEDIMENTARY ROCKS
220,Kps,Pelitic schist,Late Cretaceous,SC,111,,METAMORPHIC ROCKS
221,KPss,"Kingak Shale, Shublik Formation, and Karen Creek Sandstone, undivided",Lower Cretaceous to Permian,NE;NR;NW,33-34,"KPu—Kingak Shale, Shublik Formation, and Karen Creek Sandstone, undivided; KJks—Kingak Shale and similar units; Kit—Tingmerkpuk Member of the Ipewik Formation; ^kc—Karen Creek Sandstone",SEDIMENTARY ROCKS
222,Kpu,"Kingak Shale, Shublik Formation, and Karen Creek Sandstone, undivided",Lower Cretaceous to Permian,NE,33,,SEDIMENTARY ROCKS
223,KJks,Kingak Shale and similar units,Lower Cretaceous to Lower Jurassic,NR,34,,SEDIMENTARY ROCKS
224,Kit,Tingmerkpuk Member of the Ipewik Formation,"Lower Cretaceous, Valanginian",NW,34,,SEDIMENTARY ROCKS
225,^kc,Karen Creek Sandstone,Upper Triassic,NR,34,,SEDIMENTARY ROCKS
226,K|um,Mafic and ultramafic rocks in southern Alaska,Cretaceous to late Paleozoic,SE;SC;SW;EC;SW,98-100;103;106,"Kgb—Gabbro and diorite of southeast Alaska; KJmu—Mafic and ultramafic rocks; K|um—Dunite and serpentinite, undivided; Kum—Ultramafic rocks of southeast Alaska; KJdg—Diorite and gabbro of southeast Alaska; Jum—Gabbronorite and other mafic and ultramafic rocks of Hidden terrane; ^gb—Gabbro and quartz gabbro; ^um—Mafic and ultramafic rocks in the vicinity of the Denali Fault System; ^dg—Mafic igneous rocks of Duke Island; |gb—Gabbro and orthogneiss",INTRUSIVE ROCKS
227,Kgb,Gabbro and diorite of southeast Alaska,Cretaceous,SE,98,,INTRUSIVE ROCKS
228,Kjmu,Mafic and ultramafic rocks,Cretaceous to Jurassic or older,"SC, SE, SW",98,,INTRUSIVE ROCKS
229,K|um,"Dunite and serpentinite, undivided",Cretaceous? to Paleozoic,"EC, SC, SE",99,,INTRUSIVE ROCKS
230,Kum,Ultramafic rocks of southeast Alaska,Early Cretaceous,SE,99,,INTRUSIVE ROCKS
231,KJdg,Diorite and gabbro of southeast Alaska,Cretaceous? and Jurassic,SE,100,,INTRUSIVE ROCKS
232,Jum,Gabbronorite and other mafic and ultramafic rocks of Hidden terrane,Early Jurassic,"SC, SW",103,,INTRUSIVE ROCKS
233,^gb,Gabbro and quartz gabbro,Late Triassic?,SC,106,,INTRUSIVE ROCKS
234,^um,Mafic and ultramafic rocks in the vicinity of the Denali Fault System,Triassic?,SE,106,,INTRUSIVE ROCKS
235,^dg,Mafic igneous rocks of Duke Island,Middle Triassic,SE,106,,INTRUSIVE ROCKS
236,|gb,Gabbro and orthogneiss,Late Paleozoic,SC,106,,INTRUSIVE ROCKS
237,Ksb,Schrader Bluff Formation,"Upper Cretaceous, Maastrichtian to Santonian",NR,19,,SEDIMENTARY ROCKS
238,Ksbf,Seabee Formation and Hue Shale,"Upper Cretaceous, Coniacian to Turonian",NR,23,,SEDIMENTARY ROCKS
239,Ksfg,Foliated granitic rocks of southeast Alaska,Middle Cretaceous?,SE,97,,INTRUSIVE ROCKS
240,Ksmd,Shallow to moderate depth sedimentary rocks,Upper Cretaceous to upper Lower Cretaceous,SW;SC,20-21,Kkn—Nearshore facies (Kuskokwim Group); Km—Matanuska Formation and correlative rocks,SEDIMENTARY ROCKS
241,Kkn,Nearshore facies (Kuskokwim Group),"Upper Cretaceous, Santonian to Cenomanian",SW,20,,SEDIMENTARY ROCKS
242,Km,Matanuska Formation and correlative rocks,Upper Cretaceous to upper Lower Cretaceous,SC,21,,SEDIMENTARY ROCKS
243,K^m,"Kelp Bay Group, undivided",Cretaceous to Triassic,SE,137,Kkbm—Khaz Complex; J^pp—Pinnacle Peak Phyllite,TECTONIC ASSEMBLAGES AND MÉLANGE
244,Kkbm,Khaz Complex,Cretaceous and older,SE,137,,TECTONIC ASSEMBLAGES AND MÉLANGE
245,J^pp,Pinnacle Peak Phyllite,Jurassic or Triassic?,SE,137,,TECTONIC ASSEMBLAGES AND MÉLANGE
246,K^vs,Volcanic and sedimentary rocks of southwest Alaska,Cretaceous to Triassic?,SW,28,"K^s—Restricted Gemuk Group; Jvs—Marine volcaniclastic and arkosic sandstone; Jvc—Volcaniclastic and volcanic rocks; J^vs—Coarse volcaniclastic sedimentary rocks; Jms—Micaceous graywacke; J^p—Phyllite and chert; J^ls—Limestone, shale, and chert",SEDIMENTARY ROCKS
247,K^s,Restricted Gemuk Group,Lower Cretaceous to Triassic?,SW,29,,SEDIMENTARY ROCKS
248,Jvs,Marine volcaniclastic and arkosic sandstone,Jurassic,SW,29,,SEDIMENTARY ROCKS
249,Jvc,Volcaniclastic and volcanic rocks,Upper and Middle Jurassic,SW,35,,SEDIMENTARY ROCKS
250,J^vs,Coarse volcaniclastic sedimentary rocks,Jurassic and (or) Triassic,SW,29,,SEDIMENTARY ROCKS
251,Jms,Micaceous graywacke,Lower Jurassic,SW,41,,SEDIMENTARY ROCKS
252,J^p,Phyllite and chert,Lower Jurassic to Upper Triassic,SW,41,,SEDIMENTARY ROCKS
253,J^ls,"Limestone, shale, and chert","Lower Jurassic and Upper Triassic, Norian",SW,41,,SEDIMENTARY ROCKS
254,Kvgc,Volcanic graywacke and conglomerate,"Lower Cretaceous, Hauterivian and older",SW,34,,SEDIMENTARY ROCKS
255,Kvu,"Volcanic rocks, undivided",Cretaceous,"EC, NW,
SC, SE, SW",82,,VOLCANIC ROCKS
256,Kyg,Volcanic graywacke and mudstone,Lower Cretaceous,WC,26,,SEDIMENTARY ROCKS
257,MDe,"Endicott Group, undivided",Mississippian to Devonian,NR,53,Mek—Kekiktuk Conglomerate; Meks—Kapaloak sequence of Moore and others (2002); Mes—Kurupa Sandstone; Du—Mangaqtaaq formation of Anderson and Watts (1992) and Ulungarat formation of Anderson (1993),SEDIMENTARY ROCKS
258,Mek,Kekiktuk Conglomerate,Mississippian,"NE, NR",53,,SEDIMENTARY ROCKS
259,Meks,Kapaloak sequence of Moore and others (2002),Mississippian,NW,54,,SEDIMENTARY ROCKS
260,Mes,Kurupa Sandstone,Lower Mississippian,NR,54,,SEDIMENTARY ROCKS
261,Du,Mangaqtaaq formation of Anderson and Watts (1992) and Ulungarat formation of Anderson (1993),Upper Devonian,NE,55,,SEDIMENTARY ROCKS
262,MDegk,"Kanayut Conglomerate and Noatak Sandstone, undivided (Endicott Group)",Lower Mississippian and Upper Devonian,NR,54,,SEDIMENTARY ROCKS
263,MDip,Iyoukeen and Peratrovich Formations,Mississippian and Devonian,SE,52,,SEDIMENTARY ROCKS
264,MDmg,Granitic rocks and orthogneiss,Mississippian to Devonian,NE;EC;WC;CN;NR;SP,107;121-123,MDgi—Old Crow suite of Gordey and Makepeace (2003) and other granitic rocks of northeast Alaska; MDag—Augen gneiss and orthogneiss; Dmi—Metamorphosed mafic igneous rocks; Dogn—Granitic gneiss,S; METAMORPHIC ROCKS
265,Mdgi,Old Crow suite of Gordey and Makepeace (2003) and other granitic rocks of northeast Alaska,Mississippian to Devonian?,NE,107,,INTRUSIVE ROCKS
266,Mdag,Augen gneiss and orthogneiss,Early Mississippian and Late Devonian,"EC, WC",121,,METAMORPHIC ROCKS
267,Dmi,Metamorphosed mafic igneous rocks,Late Devonian,CN,122,,METAMORPHIC ROCKS
268,Dogn,Granitic gneiss,Late and Middle Devonian,"NR, SP",123,,METAMORPHIC ROCKS
269,MDts,Totatlanika Schist (Yukon-Tanana crystalline complex),Early Mississippian to Late Devonian,"EC, SC",116,,METAMORPHIC ROCKS
270,MDv,Greenstone and schist (Togiak-Tikchik Complex),Mississippian? and Devonian?,SW,135,,TECTONIC ASSEMBLAGES AND MÉLANGE
271,Mgq,Globe quartzite of Weber and others (1992),Mississippian,CN,52,,SEDIMENTARY ROCKS
272,Mk,Kayak Shale (Endicott Group),Mississippian,NR,53,,SEDIMENTARY ROCKS
273,Mlgac,Akmalik Chert and other black chert of the Lisburne Group,Mississippian,"NE, NW",51,,SEDIMENTARY ROCKS
274,Mlgk,Kuna Formation (Lisburne Group),Mississippian,NW,50,,SEDIMENTARY ROCKS
275,Mlgnu,Nasorak and Utukok Formations (Lisburne Group),Mississippian,NW,51,,SEDIMENTARY ROCKS
276,MOkg,Kaskawulsh group of Kindle (1953),Mississippian and older,SC,121,,METAMORPHIC ROCKS
277,M<gs,"Gneiss, schist, and amphibolite (Yukon-Tanana crystalline complex)","Mississippian, Devonian, and older",EC,116,"|ymi—Orthogneiss and amphibolite of igneous origin; |<ygs—Gneiss, schist, and quartzite",METAMORPHIC ROCKS
278,|ymi,Orthogneiss and amphibolite of igneous origin,"Mississippian, Devonian, and older?",EC,116,,METAMORPHIC ROCKS
279,|<ygs,"Gneiss, schist, and quartzite","Mississippian, Devonian, and older",EC,116,,METAMORPHIC ROCKS
280,}m,Mélanges,Mesozoic to Paleozoic,SC;SE;SW,132-133,KJmy—Mélange of the Yakutat Group; Kmar—Alaska Range mélange; }|m—Southwest Alaska mélange,TECTONIC ASSEMBLAGES AND MÉLANGE
281,Kjmy,Mélange of the Yakutat Group,Cretaceous and Jurassic?,"SC, SE",132,,TECTONIC ASSEMBLAGES AND MÉLANGE
282,Kmar,Alaska Range mélange,Cretaceous,SC,132,,TECTONIC ASSEMBLAGES AND MÉLANGE
283,}|m,Southwest Alaska mélange,Mesozoic and Paleozoic,SW,133,,TECTONIC ASSEMBLAGES AND MÉLANGE
284,}|a,"Metamorphic rocks of Admiralty Island, undivided",Mesozoic to Paleozoic,SE,111,,METAMORPHIC ROCKS
285,}|cp,Metamorphic rocks associated with the Coast plutonic complex of Brew and Morrell (1979b),Triassic to Paleozoic,SE,112-113;120;124,"}|ss—Metasedimentary and minor metavolcanic rocks along the west side of the Coast plutonic complex of Brew and Morrell (1979b); Pm—Marble along the west side of the Coast plutonic com- plex of Brew and Morrell (1979b); }|sv—Metavolcanic rocks west of the Coast plutonic com- plex of Brew and Morrell (1979b); |gn—Roof pendants of the Coast plutonic complex of Brew and Morrell (1979b); |ks—Metamorphic rocks of the Kah Shakes sequence of Rubin and Saleeby (1991), undivided",METAMORPHIC ROCKS
286,}|ss,Metasedimentary and minor metavolcanic rocks along the west side of the Coast plutonic complex of Brew and Morrell (1979b),Triassic to Paleozoic,SE,112,,METAMORPHIC ROCKS
287,Pm,Marble along the west side of the Coast plutonic com- plex of Brew and Morrell (1979b),Permian? protolith,SE,113,,METAMORPHIC ROCKS
288,}|sv,Metavolcanic rocks west of the Coast plutonic com- plex of Brew and Morrell (1979b),Triassic to Paleozoic,SE,113,,METAMORPHIC ROCKS
289,|gn,Roof pendants of the Coast plutonic complex of Brew and Morrell (1979b),Paleozoic,SE,120,,METAMORPHIC ROCKS
290,|ks,"Metamorphic rocks of the Kah Shakes sequence of Rubin and Saleeby (1991), undivided",Early Paleozoic,SE,124,,METAMORPHIC ROCKS
291,}|ka,Rocks of the Kisaralik anticlinorium of Box and others (1993) (Togiak-Tikchik Complex),"Jurassic metamorphism, early Mesozoic or Paleozoic protolith",SW,135,}|gs—Green amphibole-bearing schist; }|p—Phyllite of the Kisaralik anticlinorium; }|sk—Metasedimentary rocks of the Kisaralik anticlinorium; MDm—Metabasalt and marble of the Kisaralik anticlinorium,TECTONIC ASSEMBLAGES AND MÉLANGE
292,}|gs,Green amphibole-bearing schist,Jurassic metamorphism,SW,135,,TECTONIC ASSEMBLAGES AND MÉLANGE
293,}|p,Phyllite of the Kisaralik anticlinorium,Early Mesozoic or Paleozoic,SW,136,,TECTONIC ASSEMBLAGES AND MÉLANGE
294,}|sk,Metasedimentary rocks of the Kisaralik anticlinorium,Early Mesozoic or Paleozoic,SW,136,,TECTONIC ASSEMBLAGES AND MÉLANGE
295,MDm,Metabasalt and marble of the Kisaralik anticlinorium,Early Mississippian to Late Devonian,SW,136,,TECTONIC ASSEMBLAGES AND MÉLANGE
296,}|mb,Metabasite,Mesozoic and Paleozoic,"NR, SP, WC",111,,METAMORPHIC ROCKS
297,Oc,Chert of interior Alaska,Ordovician,CN,71,,SEDIMENTARY ROCKS
298,O_jr,Jones Ridge Limestone and related units,Ordovician to Cambrian,"EC, NE",72,,SEDIMENTARY ROCKS
299,O_v,Fossil Creek Volcanics and similar rocks,Ordovician and Cambrian,"EC, NE, NR",88,,VOLCANIC ROCKS
300,O<pt,Older rocks of York terrane and Grantley Harbor Fault Zone,Middle Ordovician to Proterozoic,SP,68,,SEDIMENTARY ROCKS
301,Pcs,Clastic and volcaniclastic rocks (Togiak-Tikchik Complex),Permian,SW,134,,TECTONIC ASSEMBLAGES AND MÉLANGE
302,PDcf,"Cannery Formation and Porcupine slate of Redman and others (1985), undivided",Permian to Devonian,SE,48;120,"PDcf—Cannery Formation and Porcupine slate of Redman and others (1985), undivided; |ps—Porcupine slate of Redman and others (1985)",SEDIMENTARY ROCKS; METAMORPHIC ROCKS
303,PDcf,"Cannery Formation and Porcupine slate of Redman and others (1985), undivided",Permian to Devonian,SE,48,,SEDIMENTARY ROCKS
304,|ps,Porcupine slate of Redman and others (1985),Late Paleozoic,SE,120,,METAMORPHIC ROCKS
305,PDms,Sedimentary rocks of the Mystic structural complex,Permian to Devonian,SC;SW;WC,38,PDsc—Sheep Creek formation of Bundtzen and others (1997a) and correlative siliciclastic units of the Mystic structural complex; Dls—Limestone of the Mystic structural complex,SEDIMENTARY ROCKS
306,PDsc,Sheep Creek formation of Bundtzen and others (1997a) and correlative siliciclastic units of the Mystic structural complex,Permian to Devonian,"SC, SW, WC",38,,SEDIMENTARY ROCKS
307,Dls,Limestone of the Mystic structural complex,Devonian,"SW, WC",38,,SEDIMENTARY ROCKS
308,Plss,Limestone and calcareous clastic rocks,Permian,AP;SE;EC;NE;SW,47-48;135,Pls—Limestone; Plps—Pybus Formation and correlative? limestone; Ph—Halleck Formation and similar sedimentary rock units; Ptl—Tahkandit Limestone; Ptls—Limestone of southwest Alaska (Togiak-Tikchik Complex),SEDIMENTARY ROCKS; TECTONIC ASSEMBLAGES AND MÉLANGE
309,Pls,Limestone,Permian,AP,47,,SEDIMENTARY ROCKS
310,Plps,Pybus Formation and correlative? limestone,Permian,SE,47,,SEDIMENTARY ROCKS
311,Ph,Halleck Formation and similar sedimentary rock units,Permian,SE,47,,SEDIMENTARY ROCKS
312,Ptl,Tahkandit Limestone,Lower Permian,"EC, NE",48,,SEDIMENTARY ROCKS
313,Ptls,Limestone of southwest Alaska (Togiak-Tikchik Complex),Permian,SW,135,,TECTONIC ASSEMBLAGES AND MÉLANGE
314,P*gi,"Granodiorite, syenite, and other granitic rocks",Early Permian and Pennsylvanian,"SC, SE",107,,INTRUSIVE ROCKS
315,P*sm,Strelna Metamorphics and related rocks,Early Permian to Middle Pennsylvanian,SC,119,,METAMORPHIC ROCKS
316,Pstc,Step Conglomerate,Lower Permian,EC,48,,SEDIMENTARY ROCKS
317,Pv,Andesite and basalt of southern Alaska,Early Permian,AP;SE,86,Pv—Volcanic rocks of Puale Bay; Phb—Volcanic rocks of the Halleck Formation and related rocks of southeast Alaska,VOLCANIC ROCKS
318,Pv,Volcanic rocks of Puale Bay,Early Permian,AP,86,,VOLCANIC ROCKS
319,Phb,Volcanic rocks of the Halleck Formation and related rocks of southeast Alaska,Early Permian,SE,86,,VOLCANIC ROCKS
320,*Dcf,"Calico Bluff and Ford Lake Shale, undivided",Lower Pennsylvanian to Devonian,EC,52,,SEDIMENTARY ROCKS
321,*Mn,Nuka Formation,Carboniferous,NW,49,,SEDIMENTARY ROCKS
322,*sb,Upper Saginaw Bay Formation and similar rocks of southeast Alaska,Pennsylvanian,SE,49,,SEDIMENTARY ROCKS
323,|c,Marble,Early Permian to early Paleozoic,SE;NW;NR,120-121;124,"|ce—Marble, southeast Alaska; |cn—Marble, northern Alaska; |m—Marble of the Brooks Range",METAMORPHIC ROCKS
324,|ce,"Marble, southeast Alaska",Early Permian to Devonian,SE,120,,METAMORPHIC ROCKS
325,|cn,"Marble, northern Alaska",Early Paleozoic,NW,121,,METAMORPHIC ROCKS
326,|m,Marble of the Brooks Range,Devonian and older,NR,124,,METAMORPHIC ROCKS
327,|cu,Black chert,"Lower Paleozoic, Devonian or older",SW,55,,SEDIMENTARY ROCKS
328,|e,Eclogite and associated rocks (Yukon-Tanana crystalline complex),Paleozoic,CN,115,,METAMORPHIC ROCKS
329,|kn,"Klondike Schist, Keevy Peak Formation, and similar rocks (Yukon-Tanana crystalline complex)",Permian to early Paleozoic,EC;CN,115;117,Pks—Klondike Schist; |kp—Keevy Peak Formation and similar rocks,METAMORPHIC ROCKS
330,Pks,Klondike Schist,Permian,EC,115,,METAMORPHIC ROCKS
331,|kp,Keevy Peak Formation and similar rocks,Early Paleozoic,"CN, EC",117,,METAMORPHIC ROCKS
332,|ls,Limestone and marble,Paleozoic,"EC, NR, WC",47,,SEDIMENTARY ROCKS
333,|np,Metagabbro and metasedimentary rocks (Nome Complex),Paleozoic?,SP,140,,TECTONIC ASSEMBLAGES AND MÉLANGE
334,|<gb,Gabbro and metagabbro,Early Paleozoic and Proterozoic?,SP,129,,METAMORPHIC ROCKS
335,|<kg,High-grade metamorphic rocks of the Seward Peninsula,Earliest Paleozoic to Proterozoic,SP,129,,METAMORPHIC ROCKS
336,|<nc,"Nome Complex, undivided",Early Paleozoic to Proterozoic,SP,139,,TECTONIC ASSEMBLAGES AND MÉLANGE
337,|<rqm,Pelitic and quartzitic schist of the Ruby terrane,Early Paleozoic to Proterozoic?,"NR, WC",127,,METAMORPHIC ROCKS
